subject,grade,unit,topic
Mathematics,7,Number and place value,Place value and ordering whole numbers
Mathematics,7,Number and place value,Rounding and estimating
Mathematics,7,"Number and place value","Factors, multiples, HCF and LCM"
Mathematics,7,Number and place value,Prime numbers and prime factorisation
Mathematics,7,"Number and place value","Squares, cubes and roots"
Mathematics,7,Number and place value,Indices (introduction)
Mathematics,7,"Fractions, decimals and percentages","Equivalent fractions and simplifying"
Mathematics,7,"Fractions, decimals and percentages","Operations with fractions and mixed numbers"
Mathematics,7,"Fractions, decimals and percentages","Decimals: place value and operations"
Mathematics,7,"Fractions, decimals and percentages","Converting fractions, decimals and percentages"
Mathematics,7,"Fractions, decimals and percentages","Percentages of a quantity"
Mathematics,7,Integers,Directed numbers on the number line
Mathematics,7,Integers,Operations with integers
Mathematics,7,Ratio and rate,Ratio and simplifying ratios
Mathematics,7,Ratio and rate,Sharing in a given ratio
Mathematics,7,Ratio and rate,Rates and unit price
Mathematics,7,Algebra,Algebraic expressions and substitution
Mathematics,7,Algebra,Simplifying expressions (collecting like terms)
Mathematics,7,Algebra,Simple linear equations
Mathematics,7,"Measurement","Units of length, mass and capacity"
Mathematics,7,Measurement,Perimeter and area of rectangles and triangles
Mathematics,7,Measurement,Time and the 24-hour clock
Mathematics,7,Geometry,Angles and angle properties
Mathematics,7,Geometry,Types of triangles and quadrilaterals
Mathematics,7,Geometry,Symmetry
Mathematics,7,Statistics,Collecting and organising data
Mathematics,7,"Statistics","Bar charts, pictograms and pie charts"
Mathematics,7,"Statistics","Mean, median, mode and range"
Mathematics,8,Number,Order of operations
Mathematics,8,Number,Powers and standard form
Mathematics,8,Number,Square roots and cube roots
Mathematics,8,Number,Rational numbers and comparing fractions
Mathematics,8,"Fractions, decimals and percentages","Percentage increase and decrease"
Mathematics,8,"Fractions, decimals and percentages","Percentage profit and loss"
Mathematics,8,"Fractions, decimals and percentages","Discount, commission and tax"
Mathematics,8,"Ratio, rate and proportion","Direct proportion"
Mathematics,8,"Ratio, rate and proportion","Inverse proportion"
Mathematics,8,"Ratio, rate and proportion","Speed, distance and time"
Mathematics,8,"Ratio, rate and proportion","Scale and map reading"
Mathematics,8,Consumer arithmetic,Simple interest
Mathematics,8,Consumer arithmetic,Hire purchase and instalment buying
Mathematics,8,"Consumer arithmetic","Salaries, wages and overtime"
Mathematics,8,Algebra,Expanding brackets
Mathematics,8,Algebra,Factorising (common factors)
Mathematics,8,Algebra,Solving linear equations
Mathematics,8,Algebra,Formulae: substitution and changing the subject (introduction)
Mathematics,8,Algebra,Linear inequalities (introduction)
Mathematics,8,Algebra,Number patterns and sequences
Mathematics,8,Coordinate geometry and graphs,The Cartesian plane and plotting points
Mathematics,8,Coordinate geometry and graphs,Graphs of linear equations
Mathematics,8,Coordinate geometry and graphs,Gradient of a line
Mathematics,8,Measurement,Circumference and area of a circle
Mathematics,8,Measurement,Area of composite shapes
Mathematics,8,Measurement,Volume and surface area of prisms
Mathematics,8,Geometry,Angles in parallel lines
Mathematics,8,Geometry,Angle sum of polygons
Mathematics,8,Geometry,Constructions
Mathematics,8,Geometry,Congruence
Mathematics,8,Statistics and probability,Frequency tables and averages from a table
Mathematics,8,Statistics and probability,Introduction to probability
